,Name,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Charge2,Charge3,Charge4,Charge5,y
5416,A14-07151_Ratio.12498.12498.2,1183.625462,1,0.111111111,0.003228,9,10.42128285,0.188,1.4503,0.144763143,0.269723874,-0.408569842,0.002160714,0.336232528,0.603451296,0.011405306,1,0,0,0,0
11301,A14-07151_Ratio.36056.36056.4,2573.385201,0,0.0,0.004724,22,9.461283005,7.32e-11,6.1156,0.232147265,0.41631707,0.658951736,0.004481013,0.344363193,0.631474422,0.009442075,0,0,1,0,0
4481,A14-07151_Ratio.12153.12153.2,1376.789768,1,0.125,0.004603,8,12.03121873,0.000214,6.2256,0.43886827,0.740338502,-0.634532566,0.007423105,0.421396461,0.703763701,0.00873364,1,0,0,0,0
5832,A14-07151_Ratio.08922.08922.2,1112.634251,0,0.0,0.001512,8,11.13062126,0.000534,3.6182,0.329742292,0.656872798,0.01013707,0.006912126,0.444792476,0.805691457,0.016933969,1,0,0,0,0
3538,A14-07151_Ratio.27545.27545.3,2166.155234,2,0.133333333,0.005687,15,9.582922701,0.0127,4.6111,0.571008441,0.893460956,-0.876755112,0.01594033,0.590814938,0.9190931,0.018968957,0,1,0,0,0
6854,A14-07151_Ratio.05415.05415.2,1441.75449,0,0.0,0.006845,12,10.66152494,1.98e-09,7.0438,0.268447302,0.428994379,0.746258682,0.006038154,0.26270293,0.433433055,0.007114782,1,0,0,0,0
10047,A14-07151_Ratio.22804.22804.2,1680.9378,1,0.090909091,0.004,11,11.86496265,0.0047,6.6856,0.224599209,0.36042327,-0.599532013,0.003562529,0.388554234,0.663775475,0.010581333,1,0,0,0,0
9254,A14-07151_Ratio.24168.24168.2,1353.6759,0,0.0,0.002,11,11.09661117,0.0022,9.0371,0.12688726,0.194747978,0.193519443,0.000849849,0.367337366,0.647761377,0.012551626,1,0,0,0,0
7305,A14-07151_Ratio.25144.25144.3,1751.9456,2,0.181818182,0.002,11,10.66946169,0.019,10.9275,0.224458491,0.420246329,0.876273396,0.005168329,0.480319147,0.838227655,0.018242076,0,1,0,0,0
372,A14-07151_Ratio.39123.39123.2,1675.0351,1,0.090909091,0.003,11,10.95586891,0.00062,8.7068,0.536805872,1.136037842,-0.062259423,0.004776628,0.638679682,1.179975245,0.015667609,1,0,0,0,1
6072,A14-07151_Ratio.15484.15484.3,1920.0069,2,0.166666667,0.004,12,11.40437898,0.032,10.0372,0.283864714,0.574321964,-0.102650893,0.00851591,0.522854208,0.954582449,0.02724694,0,1,0,0,0
7126,A14-07151_Ratio.21025.21025.2,1922.0005,1,0.076923077,0.007,13,11.36269087,1.3e-05,7.5398,0.14388981,0.291613637,0.689777225,0.001723506,0.282089584,0.522127184,0.005228282,1,0,0,0,0
7361,A14-07151_Ratio.06733.06733.2,1030.544041,0,0.0,0.000786,8,10.71113039,0.000126,5.1986,0.10383422,0.194955552,0.878324211,0.00064013,0.195676985,0.326271196,0.003359546,1,0,0,0,0
7693,A14-07151_Ratio.13201.13201.2,1259.752171,1,0.142857143,0.003073,7,11.99758937,0.0365,2.5387,0.168453577,0.299077306,0.448438847,0.001269393,0.188720552,0.342017499,0.001515403,1,0,0,0,0
7623,A14-07151_Ratio.18424.18424.2,1276.767307,1,0.142857143,0.002894,7,11.64100135,0.191,2.3271,0.185325297,0.376177532,0.835582658,0.000741664,0.253813661,0.471447602,0.003117009,1,0,0,0,0
10143,A14-07151_Ratio.24455.24455.2,1162.659153,0,0.0,0.004239,7,11.70954807,0.0173,2.2267,0.135212017,0.253790992,-0.4023528,0.001516195,0.290526715,0.533536074,0.008489592,1,0,0,0,0
10387,A14-07151_Ratio.24948.24948.2,1287.754612,0,0.0,0.004401,9,11.57124314,0.000757,4.9428,0.239389534,0.520611182,0.799764529,0.000382126,0.283056403,0.549757364,0.002394595,1,0,0,0,0
10697,A14-07151_Ratio.27217.27217.2,1329.8304,1,0.125,0.003,8,11.57372915,0.039,6.2082,0.124506654,0.259646234,0.798983255,0.000770104,0.193048665,0.365967124,0.002371817,1,0,0,0,0
