,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Name,Charge2,Charge3,Charge4,Charge5,y
4435,0.4313213775439444,1.3813402093550446,0.8824442078415118,-0.26811429607998294,0.34542982261658767,-0.7550211119267826,-0.156875753916046,-0.404464585083037,-0.3856475022063608,-0.24629902453852726,0.9598823118400305,-0.2638712824354287,0.8153435249048511,0.6509903010534016,0.8437294984676961,A14-07151_Ratio.30304.30304.3,0,1,0,0,0
2877,-0.3659739102830323,0.06506699055649245,0.14831782756747275,-0.25912204436549285,-0.3363595560313868,0.4187619181033333,-0.1438702547672707,0.38802077297876175,-0.0019759470061169607,-0.0027937287731455603,-0.005289136476138013,0.0003325013699504451,-0.002079870518242099,-0.0030894378896448413,0.0011252070135694592,A14-07151_Ratio.23397.23397.2,1,0,0,0,0
6637,-0.8733710213798337,0.06506699055649245,0.48916221743514965,-0.7054974194727819,-0.7908858084633698,0.3973636338707865,-0.15819900756919072,1.018129864408431,-0.7745953835691567,-0.8202790588817424,0.5255027137442687,-0.4153353450063666,-0.24240298226931103,-0.31184216228635386,-0.21471492034621295,A14-07151_Ratio.08352.08352.3,0,1,0,0,0
6468,0.8274028929312202,1.3813402093550446,1.0572362050925364,0.8199481613733204,0.1181666964005962,-1.5407038098178352,-0.13928479891931111,0.5280656583189208,-0.7047258386784876,-0.7511158424344954,1.1500999462514179,-0.3766547038972962,-0.5465293430314311,-0.5653848423730885,-0.31514219180994263,A14-07151_Ratio.31011.31011.2,1,0,0,0,0
9205,-0.7778077039423159,1.3813402093550446,2.6803047276227234,-0.3465267310303368,-1.0181489346793613,1.3025375750860313,-0.04509189337580857,-1.5688919177415444,-0.5063289387691929,-0.5226811854394469,0.25471797297906607,-0.32128200301498633,-0.486686097246275,-0.44273501187609665,-0.30597992102980615,A14-07151_Ratio.10451.10451.2,1,0,0,0,0
7760,0.30578295498370744,-1.2512062282420597,-1.2150597319032352,-0.25912204436549285,0.5726929488325792,-0.598584776396101,-0.12954070524239708,0.9157622180533922,-0.2479002139964847,-0.2002319124473978,0.8856300016469013,-0.18668345116409857,-0.2670680101849657,-0.36293212884628384,-0.15859379370842389,A14-07151_Ratio.05017.05017.3,0,1,0,0,0
8484,-0.6800700077212563,0.06506699055649245,0.29980422154935404,0.23041613897134883,-0.5636226822473783,0.3492304798078189,-0.15411110616104703,-0.3224589968777487,-0.7207686074247627,-0.7568803030817499,0.07626653838809441,-0.3908310113899669,-0.7023777999425931,-0.7478162752499071,-0.6132789118393657,A14-07151_Ratio.22462.22462.2,1,0,0,0,0
1593,-0.3719807231065151,-1.2512062282420597,-1.2150597319032352,-0.9785021815247017,-0.1090964298153953,-0.46574820871535405,-0.1276300986390806,-0.35285345594069634,1.1033781459113436,0.46521898968359215,1.4077087920470581,1.0585674889939554,1.4456772202026833,1.0197755274180362,1.4721732520082715,A14-07151_Ratio.23752.23752.2,1,0,0,0,0
4023,-0.01411381744296133,0.06506699055649245,0.14831782756747275,-0.9785021815247017,-0.3363595560313868,-0.39083978879030135,-0.15720628885841972,0.6902561397489543,-0.06477606280716253,0.0014834976973046668,-0.8040999818813669,-0.28529095083697975,-0.49459978270032584,-0.4954296505426667,-0.5558772706144142,A14-07151_Ratio.24688.24688.2,1,0,0,0,0
10268,-1.038403868543291,0.06506699055649245,0.48916221743514965,-0.7242013030389213,-0.7908858084633698,0.020722275374764943,0.10355330036221373,-1.4228647488938853,-0.335564879338744,-0.278834208719655,1.2042232102745591,-0.3206930720594937,-0.6711225993135965,-0.7066225214273731,-0.5898090957181688,A14-07151_Ratio.09471.09471.2,1,0,0,0,0
