iter	Logloss
0	0.5920627374
1	0.515615652
2	0.4567706047
3	0.4155776422
4	0.3857145574
5	0.3582292833
6	0.3364907158
7	0.3229280339
8	0.3131978678
9	0.3037153204
10	0.2966198397
11	0.2889404371
12	0.2823725939
13	0.2782876635
14	0.2734586204
15	0.2706584267
16	0.2678788879
17	0.2643036668
18	0.2625380391
19	0.259691597
20	0.2579596243
21	0.2555619
22	0.2538115744
23	0.2523356736
24	0.2507980699
25	0.2502131548
26	0.2488140131
27	0.2482422236
28	0.2473413151
29	0.2468084214
30	0.2461564764
31	0.2454200445
32	0.2443964578
33	0.2439840129
34	0.2430619573
35	0.241891052
36	0.2413686616
37	0.2404729602
38	0.2401616791
39	0.2397788073
40	0.2392141863
41	0.2385155211
42	0.2382317993
43	0.2375873148
44	0.2372321761
45	0.236906334
46	0.2359834801
47	0.235588255
48	0.2352744762
49	0.2349265312
50	0.2346202613
51	0.234230731
52	0.233746946
53	0.2332749852
54	0.2330952324
55	0.2326851235
56	0.2323359463
57	0.2320376871
58	0.2318113225
59	0.2312261223
60	0.2309408194
61	0.2304857226
62	0.2301340704
63	0.2298512677
64	0.2295462564
65	0.2292772048
66	0.2290836378
67	0.2289158607
68	0.2286363272
69	0.2283346776
70	0.2280348722
71	0.2278571422
72	0.227516529
73	0.2273054588
74	0.2270365608
75	0.2268751675
76	0.226693926
77	0.2264658505
78	0.2261535493
79	0.2259541132
80	0.2255941036
81	0.2253490883
82	0.2251666142
83	0.2250213741
84	0.224920928
85	0.2246663398
86	0.2245542811
87	0.2241882697
88	0.2240325107
89	0.2239012836
90	0.2235824628
91	0.2234481288
92	0.2232999227
93	0.2230746324
94	0.222817167
95	0.2224470788
96	0.2222709097
97	0.222103531
98	0.2219257834
99	0.2217695139
100	0.2216160483
101	0.2214959887
102	0.2212423047
103	0.2210821818
104	0.2209608525
105	0.2208082002
106	0.220713551
107	0.2206175992
108	0.2204964925
109	0.2203811147
110	0.2202404223
111	0.2200969939
112	0.2200001862
113	0.2198184622
114	0.2197211937
115	0.2194230828
116	0.2192978867
117	0.2191611491
118	0.2190385058
119	0.2189506252
120	0.2188471006
121	0.2187785482
122	0.2186819718
123	0.2185516974
124	0.2184444463
125	0.2182986979
126	0.2181953724
127	0.2181158749
128	0.2180135806
129	0.2178262069
130	0.2177411769
131	0.2176051977
132	0.2173881675
133	0.2171296715
134	0.2169597719
135	0.2168138982
136	0.2166957884
137	0.2166097702
138	0.2165164014
139	0.2164411459
140	0.2163654745
141	0.2162153789
142	0.2159836338
143	0.2158461117
144	0.2157576139
145	0.2156743689
146	0.2155438477
147	0.2154364299
148	0.2152876826
149	0.2150835479
150	0.2149147776
151	0.214820544
152	0.214653151
153	0.2144899375
154	0.214423699
155	0.2142786893
156	0.2141347926
157	0.2139944683
158	0.2138852394
159	0.2138100002
160	0.2137410339
161	0.2136072387
162	0.2134960759
163	0.2134214476
164	0.2133408608
165	0.2132833241
166	0.2131872818
167	0.2130960567
168	0.2130193433
169	0.2129686921
170	0.2128792417
171	0.2128022011
172	0.2126724432
173	0.2125901808
174	0.2125474282
175	0.2124614977
176	0.2123330442
177	0.2122706156
178	0.2121127524
179	0.2120440931
180	0.2119034623
181	0.2117981589
182	0.2116930947
183	0.2115901356
184	0.2115238733
185	0.2114466669
186	0.2113654825
187	0.211271395
188	0.2111510979
189	0.2110823018
190	0.211017429
191	0.2109083208
192	0.2108431653
193	0.2107395583
194	0.2106288134
195	0.2105306821
196	0.2104548354
197	0.2103885279
198	0.2103047643
199	0.2102358139
200	0.2101912185
201	0.2101055926
202	0.210053652
203	0.2099569898
204	0.2099018948
205	0.209861177
206	0.209719162
207	0.2096203567
208	0.20954949
209	0.2094856413
210	0.2094192041
211	0.2092878839
212	0.2092055368
213	0.2091060818
214	0.2090718857
215	0.2090152146
216	0.2089439942
217	0.2088574235
218	0.2087516168
219	0.2086891285
220	0.2086557666
221	0.2085602894
222	0.2084912032
223	0.2084458616
224	0.2083847505
225	0.2083425091
226	0.2082827425
227	0.2082245466
228	0.2082000402
229	0.2081412542
230	0.2080809452
231	0.2080131558
232	0.2079381867
233	0.2078984474
234	0.2078312776
235	0.2077546993
236	0.207704827
237	0.207644262
238	0.2075461715
239	0.2075105138
240	0.2074443793
241	0.2073941112
242	0.2073334502
243	0.2072852836
244	0.2072279624
245	0.207175072
246	0.2070642059
247	0.2070085539
248	0.2069708552
249	0.2069240638
250	0.2068551981
251	0.2067644765
252	0.2067182223
253	0.2066802132
254	0.2066208505
255	0.2065563654
256	0.20650089
257	0.2064217358
258	0.2063678266
259	0.2062978425
260	0.2061957932
261	0.2061118449
262	0.2060807859
263	0.2060077551
264	0.2059338185
265	0.2058755774
266	0.2058420002
267	0.2057765506
268	0.2057367097
269	0.205688822
270	0.2056217489
271	0.2055780461
272	0.2055532799
273	0.205486284
274	0.2054360011
275	0.20539773
276	0.2053427342
277	0.2053127986
278	0.2052716052
279	0.2052123956
280	0.2051564595
281	0.2050589502
282	0.205014794
283	0.2049729492
284	0.2049180525
285	0.2048450253
286	0.2047924344
287	0.2047276301
288	0.2046808083
289	0.2046402686
290	0.2046098514
291	0.2045624645
292	0.204478881
293	0.204427711
294	0.204360677
295	0.2043176657
296	0.2042539744
297	0.2042024498
298	0.2041885585
299	0.2041415961
300	0.2040819516
301	0.2040345783
302	0.203990738
303	0.2039481676
