iter	Passed	Remaining
137	2487	15538
138	2505	15520
139	2523	15499
140	2540	15474
141	2557	15451
142	2576	15440
143	2593	15419
144	2611	15401
145	2632	15395
146	2650	15378
147	2667	15358
148	2685	15337
149	2705	15330
150	2724	15318
151	2742	15297
152	2760	15284
153	2780	15277
154	2797	15252
155	2815	15232
156	2834	15217
157	2854	15209
158	2871	15187
159	2889	15171
160	2907	15149
161	2924	15126
162	2942	15108
163	2960	15091
164	2976	15064
165	2995	15048
166	3012	15024
167	3029	15002
168	3046	14979
169	3064	14962
170	3082	14943
171	3099	14918
172	3115	14894
173	3132	14871
174	3152	14860
175	3170	14844
176	3187	14822
177	3205	14804
178	3224	14788
179	3241	14766
180	3259	14749
181	3278	14733
182	3296	14715
183	3313	14694
184	3331	14678
185	3347	14650
186	3366	14635
187	3383	14612
188	3402	14598
189	3419	14579
190	3437	14560
191	3455	14543
192	3473	14522
193	3492	14512
194	3511	14494
195	3527	14469
196	3544	14447
197	3561	14426
198	3579	14407
199	3597	14388
200	3615	14373
201	3633	14353
202	3651	14335
203	3669	14316
204	3687	14299
205	3705	14284
206	3725	14270
207	3744	14259
208	3762	14240
209	3780	14222
210	3797	14198
211	3815	14182
212	3833	14165
213	3851	14146
214	3870	14131
215	3887	14111
216	3905	14091
217	3923	14075
218	3941	14056
219	3959	14039
220	3978	14024
221	3997	14008
222	4018	14000
223	4037	13985
224	4054	13965
225	4071	13944
226	4090	13930
227	4108	13912
228	4128	13898
229	4145	13878
230	4162	13857
231	4180	13839
232	4199	13822
233	4217	13806
234	4235	13786
235	4252	13765
236	4272	13753
237	4289	13733
238	4307	13715
239	4326	13700
240	4344	13682
241	4361	13661
242	4378	13640
243	4397	13623
244	4414	13602
245	4432	13585
246	4451	13569
247	4467	13547
248	4488	13537
249	4505	13517
250	4523	13497
251	4541	13479
252	4560	13466
253	4577	13445
254	4595	13426
255	4613	13407
256	4630	13388
257	4648	13368
258	4666	13350
259	4684	13334
260	4702	13315
261	4722	13301
262	4739	13282
263	4757	13262
264	4777	13249
265	4794	13230
266	4814	13217
267	4831	13197
268	4850	13180
269	4868	13161
270	4887	13146
271	4905	13130
272	4925	13116
273	4944	13100
274	4961	13080
275	4980	13064
276	5000	13052
277	5018	13032
278	5035	13012
279	5053	12994
280	5071	12975
281	5089	12957
282	5107	12939
283	5127	12925
284	5143	12905
285	5161	12884
286	5179	12866
287	5198	12851
288	5215	12831
289	5232	12810
290	5250	12791
291	5268	12773
292	5286	12755
293	5304	12738
294	5322	12719
295	5339	12699
296	5358	12683
297	5377	12667
298	5397	12654
299	5415	12635
300	5433	12617
301	5450	12598
302	5469	12580
303	5486	12560
304	5503	12541
305	5522	12525
306	5541	12509
307	5558	12488
308	5578	12473
309	5597	12458
310	5617	12445
311	5635	12426
312	5653	12408
313	5672	12393
314	5691	12376
315	5711	12363
316	5731	12349
317	5749	12330
318	5766	12310
319	5783	12290
320	5800	12268
321	5818	12250
322	5836	12232
323	5855	12216
324	5874	12200
325	5892	12183
326	5911	12166
327	5930	12150
328	5947	12130
329	5966	12114
330	5984	12096
331	6002	12077
332	6021	12060
333	6039	12043
334	6058	12026
335	6077	12009
336	6094	11989
337	6113	11973
338	6131	11955
339	6148	11935
340	6166	11917
341	6186	11902
342	6203	11883
343	6223	11868
344	6243	11852
345	6261	11834
346	6279	11816
347	6296	11797
348	6316	11781
349	6334	11763
350	6352	11745
351	6370	11728
352	6387	11707
353	6405	11689
354	6422	11669
355	6440	11650
356	6458	11631
357	6476	11613
358	6494	11595
359	6511	11575
360	6527	11553
361	6547	11538
362	6564	11519
363	6582	11501
364	6600	11483
365	6619	11466
366	6637	11447
367	6656	11432
368	6676	11416
369	6694	11398
370	6712	11380
371	6731	11363
372	6747	11343
373	6767	11327
374	6786	11310
375	6805	11293
376	6823	11275
377	6840	11256
378	6859	11239
379	6877	11220
380	6895	11202
381	6913	11185
382	6931	11166
383	6949	11148
384	6966	11128
385	6985	11111
386	7004	11095
387	7023	11077
388	7040	11058
389	7059	11041
390	7077	11024
391	7095	11004
392	7114	10989
393	7131	10968
394	7150	10951
395	7168	10933
396	7186	10915
397	7204	10896
398	7222	10879
399	7239	10859
400	7256	10839
401	7275	10822
402	7293	10804
403	7311	10785
404	7330	10769
405	7347	10750
406	7366	10732
407	7384	10714
408	7401	10695
409	7421	10679
410	7437	10659
411	7456	10641
412	7474	10623
413	7492	10604
414	7510	10586
415	7527	10567
416	7546	10550
417	7564	10532
418	7583	10515
419	7600	10496
420	7617	10476
421	7636	10459
422	7655	10442
423	7672	10422
424	7690	10405
425	7708	10386
426	7727	10369
427	7744	10350
428	7763	10333
429	7783	10318
430	7803	10301
431	7822	10285
432	7841	10267
433	7861	10252
434	7881	10236
435	7899	10218
436	7918	10201
437	7936	10182
438	7952	10163
439	7972	10147
440	7992	10131
441	8010	10112
442	8029	10096
443	8046	10076
444	8064	10058
445	8081	10038
446	8100	10020
447	8118	10002
448	8135	9983
449	8152	9964
450	8172	9948
451	8190	9929
452	8207	9910
453	8224	9890
454	8240	9870
455	8259	9852
456	8276	9834
457	8295	9816
458	8314	9799
459	8331	9780
460	8349	9761
461	8367	9743
462	8385	9725
463	8404	9708
464	8424	9692
465	8441	9673
466	8459	9654
467	8477	9636
468	8495	9618
469	8514	9601
470	8532	9583
471	8550	9564
472	8568	9546
473	8586	9528
474	8604	9509
475	8621	9491
476	8638	9471
477	8656	9452
478	8673	9434
479	8692	9416
480	8710	9398
481	8730	9382
482	8750	9366
483	8767	9347
484	8785	9328
485	8804	9311
486	8822	9293
487	8840	9274
488	8858	9256
489	8876	9239
490	8894	9220
491	8912	9202
492	8932	9186
493	8950	9167
494	8969	9151
495	8988	9133
496	9006	9115
497	9023	9096
498	9041	9077
499	9059	9059
500	9077	9041
501	9095	9023
502	9114	9005
503	9132	8987
504	9150	8969
505	9169	8951
506	9187	8933
507	9205	8915
508	9222	8896
509	9240	8878
510	9259	8860
511	9278	8843
512	9295	8824
513	9313	8805
514	9332	8788
515	9349	8769
516	9366	8750
517	9383	8731
518	9403	8714
519	9422	8697
520	9441	8680
521	9458	8661
522	9475	8642
523	9494	8625
524	9513	8607
525	9533	8590
526	9549	8571
527	9569	8554
528	9589	8538
529	9606	8518
530	9624	8500
531	9643	8483
532	9663	8467
533	9683	8450
534	9701	8432
535	9718	8412
536	9736	8394
537	9754	8376
538	9775	8360
539	9793	8342
540	9812	8324
541	9828	8305
542	9846	8286
543	9864	8268
544	9882	8250
545	9900	8232
546	9918	8214
547	9936	8195
548	9954	8177
549	9973	8160
550	9991	8141
551	10009	8123
552	10026	8104
553	10044	8086
554	10063	8069
555	10081	8050
556	10098	8031
557	10117	8014
558	10134	7995
559	10153	7978
560	10172	7960
561	10189	7941
562	10206	7922
563	10225	7905
564	10244	7887
565	10262	7869
566	10280	7850
567	10299	7833
568	10319	7816
569	10337	7798
570	10356	7781
571	10373	7762
572	10392	7744
573	10408	7724
574	10426	7706
575	10443	7687
576	10462	7670
577	10480	7651
578	10497	7632
579	10516	7615
580	10535	7598
581	10556	7581
582	10573	7562
583	10590	7544
584	10608	7526
585	10627	7508
586	10647	7491
587	10666	7473
588	10685	7455
589	10703	7437
590	10720	7418
591	10740	7402
592	10760	7385
593	10779	7368
594	10798	7350
595	10817	7332
596	10837	7315
597	10857	7298
598	10875	7280
599	10892	7261
600	10910	7243
601	10929	7225
602	10949	7208
603	10969	7191
604	10988	7174
605	11005	7155
606	11024	7138
607	11042	7119
608	11061	7101
609	11080	7084
610	11099	7066
611	11118	7048
612	11136	7030
613	11154	7012
614	11172	6994
615	11189	6975
616	11207	6957
617	11224	6938
618	11243	6920
619	11262	6902
620	11280	6884
621	11297	6865
622	11317	6848
623	11336	6830
624	11354	6812
625	11373	6794
626	11392	6777
627	11411	6759
628	11429	6741
629	11447	6723
630	11466	6705
631	11484	6687
632	11503	6669
633	11521	6651
634	11541	6634
635	11559	6616
636	11578	6598
637	11597	6580
638	11615	6561
639	11632	6543
640	11651	6525
641	11671	6508
642	11691	6491
643	11709	6473
644	11729	6455
645	11746	6436
646	11764	6418
647	11783	6400
648	11801	6382
649	11820	6364
650	11838	6346
651	11858	6329
652	11876	6311
653	11894	6293
654	11912	6274
655	11929	6255
656	11947	6237
657	11965	6218
658	11982	6200
659	12002	6182
660	12019	6164
661	12036	6145
662	12055	6127
663	12072	6109
664	12091	6091
665	12109	6072
666	12127	6054
667	12148	6037
668	12167	6020
669	12188	6003
670	12207	5985
671	12227	5967
672	12245	5950
673	12265	5932
674	12282	5913
675	12300	5895
676	12320	5878
677	12339	5860
678	12357	5842
679	12374	5823
680	12393	5805
681	12411	5787
682	12431	5769
683	12450	5751
684	12468	5733
685	12485	5715
686	12504	5696
687	12524	5679
688	12545	5662
689	12563	5644
690	12582	5626
691	12600	5608
692	12619	5590
693	12638	5572
694	12657	5554
695	12677	5537
696	12695	5519
697	12713	5500
698	12731	5482
699	12751	5464
700	12768	5446
701	12789	5429
702	12806	5410
703	12824	5391
704	12841	5373
705	12859	5355
706	12877	5336
707	12897	5319
708	12913	5300
709	12930	5281
710	12948	5263
711	12966	5244
712	12985	5226
713	13003	5208
714	13021	5190
715	13041	5172
716	13059	5154
717	13079	5137
718	13097	5118
719	13116	5100
720	13135	5083
721	13155	5065
722	13174	5047
723	13192	5029
724	13210	5011
725	13228	4992
726	13247	4974
727	13266	4956
728	13284	4938
729	13302	4920
730	13322	4902
731	13341	4884
732	13361	4866
733	13379	4848
734	13398	4830
735	13416	4812
736	13434	4794
737	13452	4775
738	13473	4758
739	13492	4740
740	13510	4722
741	13529	4704
742	13548	4686
743	13568	4668
744	13587	4650
745	13605	4632
746	13623	4614
747	13640	4595
748	13656	4576
749	13676	4558
750	13695	4540
751	13714	4522
752	13733	4504
753	13753	4487
754	13770	4468
755	13787	4449
756	13805	4431
757	13821	4412
758	13840	4394
759	13858	4376
760	13877	4358
761	13895	4340
762	13912	4321
763	13930	4303
764	13950	4285
765	13969	4267
766	13987	4248
767	14005	4230
768	14021	4211
769	14039	4193
770	14058	4175
771	14077	4157
772	14095	4139
773	14112	4120
774	14130	4102
775	14149	4084
776	14167	4066
777	14184	4047
778	14201	4028
779	14219	4010
780	14238	3992
781	14257	3974
782	14274	3956
783	14292	3937
784	14308	3919
785	14328	3901
786	14347	3883
787	14364	3864
788	14381	3845
789	14400	3828
790	14418	3809
791	14436	3791
792	14456	3773
793	14475	3755
794	14492	3736
795	14511	3719
796	14530	3701
797	14549	3682
798	14566	3664
799	14585	3646
800	14605	3628
801	14624	3610
802	14644	3592
803	14662	3574
804	14680	3556
805	14699	3538
806	14717	3519
807	14734	3501
808	14752	3482
809	14771	3465
810	14792	3447
811	14810	3429
812	14828	3410
813	14846	3392
814	14866	3374
815	14885	3356
816	14904	3338
817	14922	3320
818	14940	3301
819	14959	3283
820	14976	3265
821	14992	3246
822	15010	3228
823	15027	3209
824	15047	3191
825	15065	3173
826	15083	3155
827	15101	3136
828	15118	3118
829	15137	3100
830	15156	3082
831	15173	3063
832	15191	3045
833	15210	3027
834	15228	3009
835	15246	2990
836	15264	2972
837	15282	2954
838	15301	2936
839	15319	2918
840	15338	2899
841	15356	2881
842	15373	2863
843	15389	2844
844	15409	2826
845	15428	2808
846	15447	2790
847	15466	2772
848	15484	2754
849	15502	2735
850	15520	2717
851	15538	2699
852	15557	2681
853	15575	2662
854	15594	2644
855	15613	2626
856	15633	2608
857	15651	2590
858	15670	2572
859	15687	2553
860	15705	2535
861	15724	2517
862	15743	2499
863	15762	2481
864	15781	2462
865	15801	2444
866	15821	2427
867	15842	2409
868	15861	2391
869	15878	2372
870	15896	2354
871	15913	2335
872	15932	2317
873	15951	2299
874	15969	2281
875	15987	2263
876	16006	2244
877	16024	2226
878	16042	2208
879	16061	2190
880	16078	2171
881	16099	2153
882	16115	2135
883	16134	2117
884	16151	2098
885	16167	2080
886	16187	2062
887	16207	2044
888	16226	2026
889	16243	2007
890	16261	1989
891	16277	1970
892	16297	1952
893	16315	1934
894	16333	1916
895	16352	1898
896	16372	1880
897	16391	1861
898	16411	1843
899	16429	1825
900	16449	1807
901	16465	1788
902	16482	1770
903	16499	1752
904	16520	1734
905	16537	1715
906	16556	1697
907	16576	1679
908	16594	1661
909	16612	1643
910	16629	1624
911	16647	1606
912	16665	1588
913	16684	1569
914	16702	1551
915	16720	1533
916	16740	1515
917	16758	1496
918	16777	1478
919	16794	1460
920	16812	1442
921	16829	1423
922	16847	1405
923	16868	1387
924	16886	1369
925	16906	1351
926	16923	1332
927	16942	1314
928	16959	1296
929	16976	1277
930	16994	1259
931	17013	1241
932	17031	1223
933	17049	1204
934	17068	1186
935	17084	1168
936	17104	1150
937	17122	1131
938	17140	1113
939	17159	1095
940	17178	1077
941	17195	1058
942	17215	1040
943	17231	1022
944	17250	1003
945	17268	985
946	17286	967
947	17303	949
948	17320	930
949	17339	912
950	17357	894
951	17376	876
952	17396	857
953	17414	839
954	17433	821
955	17452	803
956	17470	784
957	17488	766
958	17505	748
959	17522	730
960	17540	711
961	17558	693
962	17576	675
963	17593	657
964	17610	638
965	17627	620
966	17646	602
967	17665	583
968	17682	565
969	17700	547
970	17720	529
971	17738	510
972	17757	492
973	17778	474
974	17797	456
975	17816	438
976	17834	419
977	17854	401
978	17873	383
979	17891	365
980	17908	346
981	17927	328
982	17944	310
983	17962	292
984	17980	273
985	17998	255
986	18016	237
987	18033	219
988	18052	200
989	18069	182
990	18086	164
991	18105	146
992	18126	127
993	18144	109
994	18161	91
995	18178	73
996	18198	54
997	18217	36
998	18235	18
999	18253	0
