,Name,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Charge2,Charge3,Charge4,Charge5,y
5106,A14-07151_Ratio.13410.13410.2,1025.573094,0,0.0,0.002244,7,11.42135002,0.0016,4.7938,0.35897673,0.565075774,-0.868697163,0.009062514,0.484335829,0.755518886,0.022531788,1,0,0,0,0
4299,A14-07151_Ratio.30547.30547.3,2962.723,2,0.1,0.013,20,10.36198604,0.0014,11.4557,0.348854207,0.691658043,0.593194705,0.002149157,0.390464701,0.743795589,0.004132663,0,1,0,0,0
1326,A14-07151_Ratio.06933.06933.3,1380.7359,0,0.0,0.005,12,10.96891081,0.0078,9.7696,0.704333111,1.209160978,0.834211723,0.058120299,1.171056864,1.729684238,0.058120299,0,1,0,0,0
5370,A14-07151_Ratio.14642.14642.2,1172.721043,1,0.142857143,0.003974,7,12.17064897,0.125,2.2163,0.480644097,0.704928821,-0.890588016,0.015070347,0.505812863,0.838451765,0.018083372,1,0,0,0,0
11520,A14-07151_Ratio.24915.24915.2,1178.635105,1,0.142857143,0.003036,7,11.91418786,0.00714,2.8224,0.251033894,0.50817823,-0.192157101,0.002702507,0.391762342,0.765705693,0.008663213,1,0,0,0,0
11039,A14-07151_Ratio.24380.24380.2,1711.0349,1,0.083333333,0.006,12,9.86637122,0.00077,9.0049,0.220819758,0.391919671,0.465625437,0.002281481,0.301500507,0.559213864,0.005245682,1,0,0,0,0
1648,A14-07151_Ratio.05208.05208.2,1146.578465,0,0.0,0.001785,12,12.44373091,2.13e-07,6.5463,0.390853553,0.797569373,-0.788770655,0.00797562,0.568523281,1.076460776,0.019413654,1,0,0,0,0
1291,A14-07151_Ratio.05691.05691.2,1094.5824,0,0.0,0.005,8,11.50062383,1.3,0.1894,0.352018418,0.621119227,0.038503664,0.011954365,0.494064999,0.846971606,0.019616061,1,0,0,0,0
2060,A14-07151_Ratio.09677.09677.2,991.531468,0,0.0,0.002483,7,11.58517245,0.0312,3.2325,0.440191004,0.874938793,0.805250636,0.005181397,0.477134601,0.88883867,0.00976792,1,0,0,0,0
11777,A14-07151_Ratio.03716.03716.3,1253.5868,0,0.0,0.003,9,10.85030937,0.003,10.742,0.227808491,0.35539393,-0.799327526,0.005405999,0.35614903,0.600881528,0.015734506,0,1,0,0,0
10016,A14-07151_Ratio.29324.29324.2,1073.683323,0,0.0,0.003317,7,11.60610238,0.000713,3.9727,0.212663397,0.350952262,-0.578426517,0.004211402,0.385778932,0.674309218,0.013970529,1,0,0,0,0
11424,A14-07151_Ratio.06436.06436.2,1025.499729,0,0.0,0.001651,7,10.17404242,0.00385,4.4926,0.214279108,0.423739078,0.702346695,0.002622872,0.252960489,0.464607403,0.004525582,1,0,0,0,0
2325,A14-07151_Ratio.28225.28225.2,1414.716038,0,0.0,0.004261,9,11.51772385,2.16e-06,5.8404,0.311688947,0.530130303,0.961149373,0.004639186,0.789027371,1.178507735,0.031293653,1,0,0,0,0
8758,A14-07151_Ratio.25675.25675.2,1958.0747,1,0.0625,0.002,16,10.1120623,0.0029,8.4677,0.254124913,0.510901678,-0.530727832,0.001024533,0.406088663,0.740987462,0.008913694,1,0,0,0,0
10942,A14-07151_Ratio.14890.14890.2,1357.837742,1,0.1,0.004246,10,14.14493561,6.35e-05,5.4057,0.169095242,0.276109731,0.105602585,0.00203589,0.297400188,0.628662881,0.003944038,1,0,0,0,0
4017,A14-07151_Ratio.25660.25660.3,1911.0835,0,0.0,0.005,15,10.94030956,0.0014,7.6112,0.474511661,0.854148593,-0.261964048,0.017891921,0.604146064,0.910036671,0.029178859,0,1,0,0,0
10114,A14-07151_Ratio.20934.20934.2,1313.705784,1,0.142857143,0.003637,7,11.54368748,0.000943,4.637,0.164899207,0.300557718,-0.99823162,0.0025973,0.314769781,0.559750841,0.007131473,1,0,0,0,0
2083,A14-07151_Ratio.12072.12072.2,1046.5757,0,0.0,0.001,8,11.85815274,2.1,0.6394,0.352018418,0.621119227,0.038503664,0.011954365,0.494064999,0.846971606,0.019616061,1,0,0,0,0
4416,A14-07151_Ratio.10432.10432.2,2434.0667,1,0.04,0.011,25,10.60006624,1e-06,12.6463,0.350461528,0.686667382,-0.901267902,0.011655348,0.507260855,0.828518336,0.024883365,1,0,0,0,0
7876,A14-07151_Ratio.24436.24436.2,1387.826878,1,0.142857143,0.003947,7,11.13280665,0.0229,4.2396,0.161341532,0.328194509,-0.477055159,0.002153178,0.438592124,0.785520971,0.009866279,1,0,0,0,0
3325,A14-07151_Ratio.18009.18009.3,1961.1035,1,0.071428571,0.005,14,11.38042875,0.00051,11.3783,0.480771019,0.785419205,-0.362991378,0.030107108,0.684390659,1.049121969,0.034604993,0,1,0,0,0
9907,A14-07151_Ratio.24098.24098.2,1462.7903,0,0.0,0.003,10,11.10285351,0.028,7.4002,0.189758107,0.401099923,-0.317836474,0.003461638,0.389506997,0.67077647,0.013963822,1,0,0,0,0
501,A14-07151_Ratio.12632.12632.2,1461.8275,0,0.0,0.002,11,10.62503158,4.3,-0.1184,0.522166014,0.795913578,0.99658927,0.029065477,0.935195455,1.363870542,0.037250029,1,0,0,0,0
10423,A14-07151_Ratio.08703.08703.2,1413.802708,1,0.125,0.004535,8,11.67483743,0.000423,5.7021,0.223893449,0.450319561,0.705535209,0.004415426,0.29308627,0.542605837,0.007193837,1,0,0,0,0
9683,A14-07151_Ratio.04661.04661.2,949.523777,1,0.142857143,0.001986,7,11.56118835,0.397,1.8527,0.20259252,0.369343022,-0.861482975,0.004081667,0.396029645,0.693600636,0.015218316,1,0,0,0,0
7455,A14-07151_Ratio.04019.04019.3,1463.746908,2,0.222222222,0.002486,9,9.489325088,0.064,5.647,0.273133067,0.503593782,0.417269471,0.00321997,0.399638344,0.745286465,0.007902307,0,1,0,0,0
7726,A14-07151_Ratio.34537.34537.3,2115.0857,0,0.0,0.006,16,9.799422881,0.0026,9.4303,0.248898392,0.484540506,0.811628521,0.003607211,0.390470097,0.718769996,0.007397924,0,1,0,0,0
1005,A14-07151_Ratio.14865.14865.2,1232.7417,1,0.142857143,0.003,7,11.76635711,3.9,0.158,0.352018418,0.621119227,0.038503664,0.011954365,0.494064999,0.846971606,0.019616061,1,0,0,0,0
8542,A14-07151_Ratio.30677.30677.2,1260.7876,1,0.142857143,0.003,7,11.17187922,1.1,3.3899,0.291374169,0.569307346,-0.583072406,0.002598848,0.410090209,0.682517296,0.01493608,1,0,0,0,0
777,A14-07151_Ratio.41023.41023.3,1901.1672,1,0.076923077,0.009,13,8.547075523,0.026,8.213,0.645055664,1.329875143,-0.954569992,0.040732312,0.597433636,1.199350592,0.041183965,0,1,0,0,1
4334,A14-07151_Ratio.16141.16141.2,1517.8388,1,0.1,0.005,10,11.29137241,0.0019,7.2351,0.32180412,0.650399962,-0.946662788,0.009322775,0.345848195,0.676719916,0.011702296,1,0,0,0,0
4972,A14-07151_Ratio.31482.31482.2,1564.8001,0,0.0,0.006,11,10.13928865,0.00068,8.3163,0.385572072,0.582078319,0.866396825,0.009413413,0.563384197,0.869892144,0.021039622,1,0,0,0,0
10668,A14-07151_Ratio.33092.33092.2,1537.916,1,0.1,0.004,10,10.11361531,0.0056,9.4464,0.054263369,0.113309484,0.652089885,0.000252506,0.230571322,0.410958829,0.004323926,1,0,0,0,0
5465,A14-07151_Ratio.15711.15711.2,999.594212,0,0.0,0.002627,7,11.61297208,0.0167,3.1307,0.247835201,0.375915061,-0.970288858,0.005770794,0.495323646,0.925424749,0.014733985,1,0,0,0,0
1023,A14-07151_Ratio.33560.33560.3,2098.144,1,0.066666667,0.009,15,9.472476454,0.018,6.904,0.566683487,1.07620373,0.8663454,0.009610443,0.763887897,1.37658616,0.028528022,0,1,0,0,1
1858,A14-07151_Ratio.07461.07461.4,2259.142525,3,0.2,0.001855,15,10.50856924,0.000328,4.7045,0.352018418,0.621119227,0.038503664,0.011954365,0.494064999,0.846971606,0.019616061,0,0,1,0,1
8093,A14-07151_Ratio.10484.10484.2,1579.7295,1,0.090909091,0.004,11,11.48447552,0.0043,8.4264,0.199400432,0.361650185,0.607287329,0.003698787,0.301187276,0.533130791,0.007680265,1,0,0,0,0
6176,A14-07151_Ratio.07087.07087.4,2792.383004,3,0.157894737,0.0087,19,10.91354549,1.19e-06,5.3807,0.243347377,0.455475725,0.453934988,0.001889616,0.341267328,0.676298011,0.006086428,0,0,1,0,0
3700,A14-07151_Ratio.26349.26349.2,1359.8402,1,0.125,0.002,8,11.00012124,0.02,6.5439,0.352018418,0.621119227,0.038503664,0.011954365,0.494064999,0.846971606,0.019616061,1,0,0,0,0
3568,A14-07151_Ratio.20454.20454.2,1375.80222,1,0.125,0.005778,8,12.05849652,0.223,3.7469,0.412860744,0.639495689,-0.734367008,0.013788396,0.519943132,0.858463115,0.020778188,1,0,0,0,0
10913,A14-07151_Ratio.37793.37793.2,1530.827488,0,0.0,0.00299,11,11.03115448,6.5e-07,6.5332,0.143628207,0.238901716,-0.050181457,0.002087799,0.273187171,0.486725993,0.007881505,1,0,0,0,0
9443,A14-07151_Ratio.13073.13073.2,1442.8314,1,0.125,0.003,8,11.22440373,0.028,5.8005,0.194915332,0.26159481,-0.277382157,0.003109864,0.2934951,0.505418725,0.008447229,1,0,0,0,0
8909,A14-07151_Ratio.19604.19604.2,1637.865452,2,0.2,0.006668,10,11.08111118,4.46e-05,5.4429,0.147647629,0.25448854,0.699160151,0.000810161,0.316486922,0.574327764,0.007592248,1,0,0,0,0
2544,A14-07151_Ratio.33746.33746.3,1724.0654,1,0.090909091,0.005,11,10.41257321,0.0022,8.1471,0.517486648,1.019269307,0.127129519,0.027441244,0.650379597,1.166634214,0.038082698,0,1,0,0,0
3719,A14-07151_Ratio.25993.25993.3,2182.167624,1,0.066666667,0.006569,15,11.08919611,1.62e-07,8.4883,0.281508009,0.5431864,0.05271709,0.007815044,0.413430896,0.666133376,0.013744874,0,1,0,0,0
849,A14-07151_Ratio.20395.20395.2,1389.8319,1,0.125,0.005,8,11.92068127,0.026,7.0065,0.247380581,0.43416307,0.996780551,0.002318527,0.597384585,0.935749489,0.024080876,1,0,0,0,0
3156,A14-07151_Ratio.35573.35573.3,1855.114,1,0.083333333,0.007,12,10.07919964,0.012,7.8645,0.531615661,0.956280571,-0.805041699,0.026275557,0.613942703,1.057729675,0.033110549,0,1,0,0,0
